task_id,dataset_id,dataset_name,target_column,model,n_samples,n_features,n_classes,accuracy,balanced_accuracy,f1_score,precision,recall,training_time,status,error,data_source,metrics_complete,numeric_features,categorical_features,missing_percentage
14,14,mfeat-fourier,class,XGBoost,2000.0,76.0,10.0,0.875,0.875,0.8738964738273214,0.8752982100488886,0.875,2.1637673377990723,success,,openml,True,76,0,0.0
15,15,breast-w,Class,LogisticRegression,699.0,9.0,2.0,0.95,0.9420289855072465,0.9498719772403984,0.9498512926103868,0.95,0.0165350437164306,success,,openml,True,9,0,0.25433158480368784
15,15,breast-w,Class,DecisionTree,699.0,9.0,2.0,0.9285714285714286,0.9107789855072465,0.9277785119598256,0.92870670995671,0.9285714285714286,0.0101208686828613,success,,openml,True,9,0,0.25433158480368784
15,15,breast-w,Class,RandomForest,699.0,9.0,2.0,0.95,0.9470108695652174,0.9501211199369052,0.9503476115721016,0.95,0.3282046318054199,success,,openml,True,9,0,0.25433158480368784
15,15,breast-w,Class,KNN,699.0,9.0,2.0,0.9428571428571428,0.9365942028985508,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.0162043571472167,success,,openml,True,9,0,0.25433158480368784
15,15,breast-w,Class,SVM,699.0,9.0,2.0,0.9571428571428572,0.9524456521739132,0.9571428571428572,0.9571428571428572,0.9571428571428572,0.0245382785797119,success,,openml,True,9,0,0.25433158480368784
15,15,breast-w,Class,XGBoost,699.0,9.0,2.0,0.95,0.9470108695652174,0.9501211199369052,0.9503476115721016,0.95,0.1090221405029296,success,,openml,True,9,0,0.25433158480368784
16,16,mfeat-karhunen,class,LogisticRegression,2000.0,64.0,10.0,0.95,0.95,0.9498242692563676,0.9510572949455536,0.95,0.044358491897583,success,,openml,True,64,0,0.0
16,16,mfeat-karhunen,class,DecisionTree,2000.0,64.0,10.0,0.795,0.7949999999999999,0.7961054839943189,0.8031259146598094,0.795,0.0886075496673584,success,,openml,True,64,0,0.0
16,16,mfeat-karhunen,class,RandomForest,2000.0,64.0,10.0,0.95,0.95,0.949750372563118,0.9525201830689636,0.95,0.4660155773162842,success,,openml,True,64,0,0.0
16,16,mfeat-karhunen,class,KNN,2000.0,64.0,10.0,0.9525,0.9525,0.952383815885074,0.9558625653243892,0.9525,0.0394351482391357,success,,openml,True,64,0,0.0
16,16,mfeat-karhunen,class,SVM,2000.0,64.0,10.0,0.9675,0.9675,0.9674369176007436,0.9691446533236096,0.9675,0.5056779384613037,success,,openml,True,64,0,0.0
16,16,mfeat-karhunen,class,XGBoost,2000.0,64.0,10.0,0.9475,0.9475,0.9472008552516484,0.9500219008004034,0.9475,1.7479188442230225,success,,openml,True,64,0,0.0
18,18,mfeat-morphological,class,LogisticRegression,2000.0,6.0,10.0,0.7575,0.7575,0.75369550999207,0.757821724313597,0.7575,0.0539731979370117,success,,openml,True,6,0,0.0
18,18,mfeat-morphological,class,DecisionTree,2000.0,6.0,10.0,0.66,0.6599999999999999,0.6599362605152435,0.661398016534518,0.66,0.0166599750518798,success,,openml,True,6,0,0.0
18,18,mfeat-morphological,class,RandomForest,2000.0,6.0,10.0,0.7175,0.7175,0.7159373614040847,0.716821492873305,0.7175,0.3679864406585693,success,,openml,True,6,0,0.0
18,18,mfeat-morphological,class,KNN,2000.0,6.0,10.0,0.7325,0.7325,0.7299398387631791,0.7315543904756461,0.7325,0.0159869194030761,success,,openml,True,6,0,0.0
18,18,mfeat-morphological,class,SVM,2000.0,6.0,10.0,0.7225,0.7225,0.7112469822867147,0.7232351604021207,0.7225,0.1698133945465088,success,,openml,True,6,0,0.0
18,18,mfeat-morphological,class,XGBoost,2000.0,6.0,10.0,0.705,0.705,0.7035452783837864,0.7038401328274074,0.705,0.8459131717681885,success,,openml,True,6,0,0.0
22,22,mfeat-zernike,class,LogisticRegression,2000.0,47.0,10.0,0.825,0.825,0.8221167981819448,0.8200659320429001,0.825,0.0787255764007568,success,,openml,True,47,0,0.0
22,22,mfeat-zernike,class,DecisionTree,2000.0,47.0,10.0,0.6325,0.6325000000000001,0.6365347417645598,0.6432520514955883,0.6325,0.0906968116760253,success,,openml,True,47,0,0.0
22,22,mfeat-zernike,class,RandomForest,2000.0,47.0,10.0,0.76,0.76,0.7587855094043006,0.7604723085605438,0.76,0.4198994636535644,success,,openml,True,47,0,0.0
22,22,mfeat-zernike,class,KNN,2000.0,47.0,10.0,0.795,0.795,0.7949437390062869,0.7977685314894617,0.795,0.0321962833404541,success,,openml,True,47,0,0.0
22,22,mfeat-zernike,class,SVM,2000.0,47.0,10.0,0.8225,0.8225,0.8187188500071738,0.81721304175718,0.8225,0.4050502777099609,success,,openml,True,47,0,0.0
22,22,mfeat-zernike,class,XGBoost,2000.0,47.0,10.0,0.785,0.785,0.785274385714779,0.7873033848561508,0.785,1.7490813732147217,success,,openml,True,47,0,0.0
23,23,cmc,Contraceptive_method_used,LogisticRegression,1473.0,9.0,3.0,0.5389830508474577,0.5013030087656953,0.5295050512797271,0.5317918430898076,0.5389830508474577,0.0178043842315673,success,,openml,True,2,7,0.0
23,23,cmc,Contraceptive_method_used,DecisionTree,1473.0,9.0,3.0,0.4711864406779661,0.4455825447923779,0.4701821941582659,0.4693657754785004,0.4711864406779661,0.0135889053344726,success,,openml,True,2,7,0.0
23,23,cmc,Contraceptive_method_used,RandomForest,1473.0,9.0,3.0,0.5152542372881356,0.4885284130235842,0.5134385763494904,0.5132627625496716,0.5152542372881356,0.3596043586730957,success,,openml,True,2,7,0.0
23,23,cmc,Contraceptive_method_used,KNN,1473.0,9.0,3.0,0.4915254237288136,0.4667372753413139,0.4854405038851698,0.4839466431600639,0.4915254237288136,0.0185966491699218,success,,openml,True,2,7,0.0
23,23,cmc,Contraceptive_method_used,SVM,1473.0,9.0,3.0,0.5389830508474577,0.4969642915209202,0.5293029110719789,0.5297030331919867,0.5389830508474577,0.230541706085205,success,,openml,True,2,7,0.0
23,23,cmc,Contraceptive_method_used,XGBoost,1473.0,9.0,3.0,0.5288135593220339,0.5026849877596146,0.526867896348927,0.5259192807528883,0.5288135593220339,0.3230905532836914,success,,openml,True,2,7,0.0
28,28,optdigits,class,LogisticRegression,5620.0,62.0,10.0,0.9688612099644128,0.9687632626471704,0.9689164972997544,0.9692603786513048,0.9688612099644128,0.1028697490692138,success,,openml,True,64,0,0.0
28,28,optdigits,class,DecisionTree,5620.0,62.0,10.0,0.9048042704626336,0.9047878605866496,0.9051848574544504,0.9071694430889462,0.9048042704626336,0.0892004966735839,success,,openml,True,64,0,0.0
28,28,optdigits,class,RandomForest,5620.0,62.0,10.0,0.9866548042704626,0.9866381864431468,0.9866495764431584,0.986755165389399,0.9866548042704626,0.4455864429473877,success,,openml,True,64,0,0.0
28,28,optdigits,class,KNN,5620.0,62.0,10.0,0.9777580071174378,0.9777321914868492,0.9777073273576752,0.9777733163951536,0.9777580071174378,0.0509901046752929,success,,openml,True,64,0,0.0
28,28,optdigits,class,SVM,5620.0,62.0,10.0,0.9866548042704626,0.9866219565596605,0.9866676849594416,0.986882434553334,0.9866548042704626,1.688143253326416,success,,openml,True,64,0,0.0
28,28,optdigits,class,XGBoost,5620.0,62.0,10.0,0.9813167259786476,0.9812248796470966,0.9813111490761338,0.9814061559749004,0.9813167259786476,1.2657082080841064,success,,openml,True,64,0,0.0
29,29,credit-approval,class,LogisticRegression,690.0,15.0,2.0,0.8043478260869565,0.8093463913136044,0.8049967382720853,0.8124862988673731,0.8043478260869565,0.0173304080963134,success,,openml,True,6,9,0.6473429951690821
29,29,credit-approval,class,DecisionTree,690.0,15.0,2.0,0.7753623188405797,0.7799659357036406,0.7761073661642461,0.7834459870904884,0.7753623188405797,0.0137796401977539,success,,openml,True,6,9,0.6473429951690821
29,29,credit-approval,class,RandomForest,690.0,15.0,2.0,0.855072463768116,0.8548009367681498,0.8552877635884945,0.8558638141246837,0.855072463768116,0.3213112354278564,success,,openml,True,6,9,0.6473429951690821
29,29,credit-approval,class,KNN,690.0,15.0,2.0,0.7971014492753623,0.7926335959122844,0.796711259754738,0.7966599193430532,0.7971014492753623,0.018503189086914,success,,openml,True,6,9,0.6473429951690821
29,29,credit-approval,class,SVM,690.0,15.0,2.0,0.7898550724637681,0.7929529486906537,0.7905532283692042,0.7953111679454391,0.7898550724637681,0.0478537082672119,success,,openml,True,6,9,0.6473429951690821
29,29,credit-approval,class,XGBoost,690.0,15.0,2.0,0.8623188405797102,0.8612944432616563,0.8624285816600706,0.8626294874633992,0.8623188405797102,0.1905174255371093,success,,openml,True,6,9,0.6473429951690821
31,31,credit-g,class,LogisticRegression,1000.0,20.0,2.0,0.71,0.6166666666666667,0.6955301455301455,0.6907925407925408,0.71,0.0148112773895263,success,,openml,True,7,13,0.0
31,31,credit-g,class,DecisionTree,1000.0,20.0,2.0,0.69,0.6547619047619048,0.6961823361823362,0.7057142857142857,0.69,0.0127856731414794,success,,openml,True,7,13,0.0
31,31,credit-g,class,RandomForest,1000.0,20.0,2.0,0.775,0.6773809523809524,0.7568643462284373,0.7647985408721604,0.775,0.3493618965148926,success,,openml,True,7,13,0.0
31,31,credit-g,class,KNN,1000.0,20.0,2.0,0.685,0.575,0.6625792811839324,0.6558528428093645,0.685,0.0282762050628662,success,,openml,True,7,13,0.0
31,31,credit-g,class,SVM,1000.0,20.0,2.0,0.725,0.6035714285714285,0.6940858494256552,0.7002290513456767,0.725,0.1085937023162841,success,,openml,True,7,13,0.0
31,31,credit-g,class,XGBoost,1000.0,20.0,2.0,0.745,0.6797619047619048,0.7402115260090654,0.7373764600179694,0.745,0.1460368633270263,success,,openml,True,7,13,0.0
32,32,pendigits,class,LogisticRegression,10992.0,16.0,10.0,0.9454297407912688,0.945079357471889,0.9453891974271196,0.9455729446619962,0.9454297407912688,0.1731383800506591,success,,openml,True,16,0,0.0
32,32,pendigits,class,DecisionTree,10992.0,16.0,10.0,0.9613460663938154,0.9611216556779272,0.9612588695695756,0.9613302826812016,0.9613460663938154,0.0782773494720459,success,,openml,True,16,0,0.0
32,32,pendigits,class,RandomForest,10992.0,16.0,10.0,0.9913597089586176,0.9914031220873848,0.9913679624350654,0.991429207583216,0.9913597089586176,0.5427331924438477,success,,openml,True,16,0,0.0
32,32,pendigits,class,KNN,10992.0,16.0,10.0,0.990450204638472,0.990606179763654,0.9904359166998123,0.9905613304266682,0.990450204638472,0.0485947132110595,success,,openml,True,16,0,0.0
32,32,pendigits,class,SVM,10992.0,16.0,10.0,0.9927239654388358,0.9927895858771912,0.9927189489936956,0.9927959117647668,0.9927239654388358,1.3328580856323242,success,,openml,True,16,0,0.0
32,32,pendigits,class,XGBoost,10992.0,16.0,10.0,0.990450204638472,0.9904905919468676,0.9904541058472716,0.9905369257389204,0.990450204638472,1.1713171005249023,success,,openml,True,16,0,0.0
37,37,diabetes,class,LogisticRegression,768.0,8.0,2.0,0.7142857142857143,0.6692592592592592,0.7083516483516483,0.7064642282033586,0.7142857142857143,0.0139024257659912,success,,openml,True,8,0,0.0
37,37,diabetes,class,DecisionTree,768.0,8.0,2.0,0.7272727272727273,0.675,0.7179459691252145,0.7182282003710575,0.7272727272727273,0.0122392177581787,success,,openml,True,8,0,0.0
37,37,diabetes,class,RandomForest,768.0,8.0,2.0,0.7467532467532467,0.7112962962962963,0.7436948559373376,0.7422917218835586,0.7467532467532467,0.3290357589721679,success,,openml,True,8,0,0.0
37,37,diabetes,class,KNN,768.0,8.0,2.0,0.7012987012987013,0.6592592592592592,0.6968633878970829,0.6946214163195296,0.7012987012987013,0.0153594017028808,success,,openml,True,8,0,0.0
37,37,diabetes,class,SVM,768.0,8.0,2.0,0.7532467532467533,0.7205555555555556,0.7509206479794716,0.7496603396603396,0.7532467532467533,0.0509653091430664,success,,openml,True,8,0,0.0
37,37,diabetes,class,XGBoost,768.0,8.0,2.0,0.7337662337662337,0.7140740740740741,0.7353368267073852,0.737469258901706,0.7337662337662337,0.1684129238128662,success,,openml,True,8,0,0.0
43,44,spambase,class,LogisticRegression,4601.0,57.0,2.0,0.9294245385450596,0.9239462069374093,0.9292638981641748,0.9292892911840628,0.9294245385450596,0.0518369674682617,success,,openml,True,57,0,0.0
43,44,spambase,class,DecisionTree,4601.0,57.0,2.0,0.9109663409337676,0.9077505257857164,0.9110501362864908,0.9111694640634992,0.9109663409337676,0.0852992534637451,success,,openml,True,57,0,0.0
43,44,spambase,class,RandomForest,4601.0,57.0,2.0,0.9457111834961998,0.9393124796350604,0.945483145069239,0.9458588479432226,0.9457111834961998,0.3865952491760254,success,,openml,True,57,0,0.0
43,44,spambase,class,KNN,4601.0,57.0,2.0,0.9077090119435396,0.9026555881394592,0.907641251325786,0.9075935151476444,0.9077090119435396,0.0477664470672607,success,,openml,True,57,0,0.0
43,44,spambase,class,SVM,4601.0,57.0,2.0,0.9272529858849076,0.9197473266388224,0.9269266056807356,0.9272675520423592,0.9272529858849076,1.319899082183838,success,,openml,True,57,0,0.0
43,44,spambase,class,XGBoost,4601.0,57.0,2.0,0.9500542888165038,0.9467475339909356,0.9500051238158832,0.9499934339371904,0.9500542888165038,0.3516781330108642,success,,openml,True,57,0,0.0
45,46,splice,Class,LogisticRegression,3190.0,60.0,3.0,0.8275862068965517,0.8287399368792651,0.828518040580507,0.8322382129880951,0.8275862068965517,0.0368885993957519,success,,openml,True,0,60,0.0
45,46,splice,Class,DecisionTree,3190.0,60.0,3.0,0.8887147335423198,0.8808034306523732,0.8892116444359545,0.8900627351268483,0.8887147335423198,0.0426607131958007,success,,openml,True,0,60,0.0
